Destination,Level_A,Level_B,Level_B_Counts,,
Brisbane,Outdoor Activities,Nature & Wildlife Tours ,8,,
Brisbane,Outdoor Activities,Gear Rentals ,6,,
Brisbane,Outdoor Activities,Other Outdoor Activities ,5,,
Brisbane,Outdoor Activities,Air Tours ,4,,
Brisbane,Outdoor Activities,Dolphin & Whale Watching ,4,,
Brisbane,Outdoor Activities,Hiking Trails ,4,,
Brisbane,Sights & Landmarks,Points of Interest & Landmarks ,22,,
Brisbane,Sights & Landmarks,Sacred & Religious Sites ,17,,
Brisbane,Sights & Landmarks,Historic Sites ,9,,
Brisbane,Sights & Landmarks,Architectural Buildings ,8,,
Brisbane,Sights & Landmarks,Bridges ,5,,
Brisbane,Sights & Landmarks,Churches & Cathedrals ,4,,
Brisbane,Sights & Landmarks,Lookouts ,3,,
Brisbane,Sights & Landmarks,Neighborhoods ,3,,
Brisbane,Sights & Landmarks,Cemeteries ,2,,
Brisbane,Transportation,Taxis & Shuttles ,10,,
Brisbane,Transportation,Bus Transportation ,3,,
Brisbane,Transportation,Ferries ,3,,
Brisbane,Transportation,Mass Transportation Systems ,3,,
Brisbane,Transportation,Railways ,2,,
Brussels,Food & Drink,Brewery Tours ,12,,
Brussels,Food & Drink,Breweries ,7,,
Brussels,Food & Drink,Food Tours ,7,,
Brussels,Food & Drink,Other Food & Drink ,7,,
Brussels,Food & Drink,Wine Bars ,4,,
Brussels,Food & Drink,Cooking Classes ,1,,
Brussels,Food & Drink,Farmers Markets ,1,,
Brussels,Fun & Games,Room Escape Games ,8,,
Brussels,Fun & Games,Game & Entertainment Centers ,4,,
Brussels,Fun & Games,Movie Theaters ,4,,
Brussels,Fun & Games,Other Fun & Games ,4,,
Brussels,Fun & Games,Bowling Alleys ,2,,
Brussels,Fun & Games,Playgrounds ,2,,
Brussels,Fun & Games,Casinos ,1,,
Brussels,Fun & Games,Mini Golf ,1,,
Brussels,Fun & Games,Scavenger Hunts ,1,,
Brussels,Shopping,Gift & Specialty Shops ,79,,
Brussels,Shopping,Art Galleries ,13,,
Brussels,Shopping,Shopping Malls ,7,,
Brussels,Shopping,Antique Stores ,5,,
Brussels,Shopping,Department Stores ,3,,
Brussels,Shopping,Flea & Street Markets ,3,,
Brussels,Shopping,Farmers Markets ,1,,
Brussels,Tours,Sightseeing Tours ,20,,
Brussels,Tours,Walking Tours ,15,,
Brussels,Tours,City Tours ,14,,
